Protein Name	Organism	UniProtKB Accession
Insulin	Homo sapiens	P01308
Green Fluorescent Protein (GFP)	Aequorea victoria	P42212
Human Serum Albumin	Homo sapiens	P02768
Lactase	Homo sapiens	P09848
Lysozyme	Gallus gallus (chicken)	P27042
Interferon alpha	Homo sapiens	P01563
Erythropoietin (EPO)	Homo sapiens	P01588
Hemoglobin subunit beta	Homo sapiens	P68871
Beta-galactosidase (LacZ)	Escherichia coli	P00722
Trypsin	Bos taurus (bovine)	Q29463
Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c)	Homo sapiens (Human)	A0A0C5B5G6
Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)	Homo sapiens (Human)	A0A1B0GTW7
Bridge-like lipid transfer protein family member 3B (Syntaxin-6 Habc-interacting protein of 164 kDa) (UHRF1-binding protein 1-like)	Homo sapiens (Human)	A0JNW5
POTE ankyrin domain family member B3	Homo sapiens (Human)	A0JP26
Clarin-2	Homo sapiens (Human)	A0PK11
Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	Homo sapiens (Human)	A1A4S6
Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)	Homo sapiens (Human)	A1A519
Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2)	Homo sapiens (Human)	A1L190
Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	Homo sapiens (Human)	A1L3X0
SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	Homo sapiens (Human)	A1X283
FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)	Homo sapiens (Human)	A2A2Y4
Transmembrane protein 218	Homo sapiens (Human)	A2RU14
Coiled-coil domain-containing protein 66	Homo sapiens (Human)	A2RUB6
tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	Homo sapiens (Human)	A2RUC4
Gamma-secretase-activating protein (GSAP) (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form (GSAP-16K)]	Homo sapiens (Human)	A4D1B5
Probable crossover junction endonuclease EME2 (EC 3.1.22.-)	Homo sapiens (Human)	A4GXA9
Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151)	Homo sapiens (Human)	A5D8V7
Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)	Homo sapiens (Human)	A5PLL7
Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)	Homo sapiens (Human)	A6BM72
Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator)	Homo sapiens (Human)	A6H8Y1
Homeobox protein Nkx-2.6 (Homeobox protein NK-2 homolog F)	Homo sapiens (Human)	A6NCS4
Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1) (LYR motif-containing protein 8)	Homo sapiens (Human)	A6NFY7
Photoreceptor cilium actin regulator	Homo sapiens (Human)	A6NGG8
Protein myomaker (Myoblast fusion maker) (Transmembrane protein 226) (Transmembrane protein 8C)	Homo sapiens (Human)	A6NI61
Pecanex-like protein 2 (Pecanex homolog protein 2)	Homo sapiens (Human)	A6NKB5
Interferon-induced transmembrane protein 5 (Bone-restricted interferon-induced transmembrane protein-like protein) (BRIL) (Dispanin subfamily A member 1) (DSPA1)	Homo sapiens (Human)	A6NNB3
Zinc finger SWIM domain-containing protein 8	Homo sapiens (Human)	A7E2V4
TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1)	Homo sapiens (Human)	A7MCY6
Serine/arginine repetitive matrix protein 4 (Medulloblastoma antigen MU-MB-2.76) (Neural-specific serine/arginine repetitive splicing factor of 100 kDa) (Neural-specific SR-related protein of 100 kDa) (nSR100)	Homo sapiens (Human)	A7MD48
Sine oculis-binding protein homolog (Jackson circler protein 1)	Homo sapiens (Human)	A7XYQ1
Cysteine-rich tail protein 1	Homo sapiens (Human)	A8MQ03
Meiosis-specific protein MEI4	Homo sapiens (Human)	A8MW99
MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)	Homo sapiens (Human)	A9UHW6
Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)	Homo sapiens (Human)	B1AK53
von Willebrand factor C domain-containing protein 2-like (VWC2-like protein) (Brorin-like)	Homo sapiens (Human)	B2RUY7
IQCJ-SCHIP1 readthrough transcript protein	Homo sapiens (Human)	B3KU38
T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)	Homo sapiens (Human)	B6A8C7
Inward rectifier potassium channel 18 (Inward rectifier K(+) channel Kir2.6) (Potassium channel, inwardly rectifying subfamily J member 18)	Homo sapiens (Human)	B7U540
Mapk-regulated corepressor-interacting protein 1 (Granulin-2) (Protein FAM195B)	Homo sapiens (Human)	C9JLW8
Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64)	Homo sapiens (Human)	C9JRZ8
Killer cell lectin-like receptor subfamily F member 2 (Lectin-like receptor F2) (Activating coreceptor NKp65)	Homo sapiens (Human)	D3W0D1
Short transmembrane mitochondrial protein 1	Homo sapiens (Human)	E0CX11
Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)	Homo sapiens (Human)	O00115
Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	Homo sapiens (Human)	O00116
Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	Homo sapiens (Human)	O00159
