expression_level,solubility,temperature,induction_time,host_organism,vector_type,induction_condition,media_type,temperature_category,induction_duration,combined_score
0.8,0.7,37,4,E. coli,pET,IPTG,LB,high,short,0.75
0.6,0.5,30,2,E. coli,pGEX,IPTG,TB,medium,very_short,0.55
0.9,0.8,25,8,S. cerevisiae,pMAL,Methanol,M9,medium,medium,0.85
0.7,0.6,37,6,P. pastoris,pET,Arabinose,LB,high,short,0.65
0.5,0.4,30,3,E. coli,pGEX,IPTG,TB,medium,very_short,0.45
0.85,0.75,28,5,S. cerevisiae,pMAL,Methanol,M9,medium,short,0.80
0.75,0.65,35,7,P. pastoris,pET,Arabinose,LB,high,medium,0.70
0.65,0.55,32,4,E. coli,pGEX,IPTG,TB,medium,short,0.60
0.95,0.85,26,9,S. cerevisiae,pMAL,Methanol,M9,medium,medium,0.90
0.55,0.45,33,2,E. coli,pET,IPTG,LB,medium,very_short,0.50
0.82,0.72,36,6,P. pastoris,pGEX,Arabinose,TB,high,short,0.77
0.72,0.62,29,8,S. cerevisiae,pMAL,Methanol,M9,medium,medium,0.67
0.88,0.78,34,5,E. coli,pET,IPTG,LB,medium,short,0.83
0.68,0.58,31,3,E. coli,pGEX,IPTG,TB,medium,very_short,0.63
0.92,0.82,27,7,S. cerevisiae,pMAL,Methanol,M9,medium,medium,0.87
0.58,0.48,35,4,P. pastoris,pET,Arabinose,LB,high,short,0.53
0.78,0.68,32,6,E. coli,pGEX,IPTG,TB,medium,short,0.73
0.98,0.88,28,9,S. cerevisiae,pMAL,Methanol,M9,medium,medium,0.93
0.62,0.52,36,2,E. coli,pET,IPTG,LB,high,very_short,0.57
0.86,0.76,30,5,P. pastoris,pGEX,Arabinose,TB,medium,short,0.81 
