Protein Name	Organism	UniProtKB Accession
Osteocalcin (Bone Gla protein) (BGP) (Gamma-carboxyglutamic acid-containing protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P02819
Apolipoprotein E (Apo-E)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P10517
Sulfotransferase 2A1 (ST2A1) (EC 2.8.2.2) (Bile salt sulfotransferase) (EC 2.8.2.14) (Hydroxysteroid sulfotransferase) (HST)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P52842
NKG2-D type II integral membrane protein (Killer cell lectin-like receptor subfamily K member 1) (NK cell receptor D) (NKG2-D-activating NK receptor) (CD antigen CD314)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P61252
Proliferating cell nuclear antigen (PCNA)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P61258
Interferon gamma (IFN-gamma)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P63309
Thromboxane-A synthase (TXA synthase) (TXS) (EC 5.3.99.5) (Cytochrome P450 5A1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PG45
Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (17-alpha-hydroxyprogesterone aldolase) (EC 1.14.14.32) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17) (Steroid 17-alpha-monooxygenase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2XVA1
Glutamate receptor 3 (GluR-3) (AMPA-selective glutamate receptor 3) (GluR-C) (GluR-K3) (Glutamate receptor ionotropic, AMPA 3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q38PU6
Monoacylglycerol lipase ABHD2 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 2) (Acetylesterase) (EC 3.1.1.6) (Triacylglycerol lipase) (EC 3.1.1.79)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R2Y9
Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R407
Heterogeneous nuclear ribonucleoprotein K (hnRNP K)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4M6
Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4U9
Tubulin beta-4A chain (Tubulin beta-4 chain)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4X8
YTH domain-containing family protein 2	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5D9
Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6M5
Dual specificity tyrosine-phosphorylation-regulated kinase 3 (EC 2.7.12.1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6S5
Protein spire homolog 1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R707
Lysophosphatidylserine lipase ABHD12 (EC 3.1.-.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R766
RNA-binding motif protein, X chromosome (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7F0
