Entry	Protein names	Organism
A0A0C5B5G6	Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c)	Homo sapiens (Human)
A0A1B0GTW7	Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)	Homo sapiens (Human)
A0JNW5	Bridge-like lipid transfer protein family member 3B (Syntaxin-6 Habc-interacting protein of 164 kDa) (UHRF1-binding protein 1-like)	Homo sapiens (Human)
A0JP26	POTE ankyrin domain family member B3	Homo sapiens (Human)
A0PK11	Clarin-2	Homo sapiens (Human)
A1A4S6	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	Homo sapiens (Human)
A1A519	Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)	Homo sapiens (Human)
A1L190	Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2)	Homo sapiens (Human)
A1L3X0	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	Homo sapiens (Human)
A1X283	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	Homo sapiens (Human)
A2A2Y4	FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)	Homo sapiens (Human)
A2RU14	Transmembrane protein 218	Homo sapiens (Human)
A2RUB6	Coiled-coil domain-containing protein 66	Homo sapiens (Human)
A2RUC4	tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	Homo sapiens (Human)
A4D1B5	Gamma-secretase-activating protein (GSAP) (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form (GSAP-16K)]	Homo sapiens (Human)
A4GXA9	Probable crossover junction endonuclease EME2 (EC 3.1.22.-)	Homo sapiens (Human)
A5D8V7	Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151)	Homo sapiens (Human)
A5PLL7	Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)	Homo sapiens (Human)
A6BM72	Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)	Homo sapiens (Human)
A6H8Y1	Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator)	Homo sapiens (Human)
A6NCS4	Homeobox protein Nkx-2.6 (Homeobox protein NK-2 homolog F)	Homo sapiens (Human)
A6NFY7	Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1) (LYR motif-containing protein 8)	Homo sapiens (Human)
A6NGG8	Photoreceptor cilium actin regulator	Homo sapiens (Human)
A6NI61	Protein myomaker (Myoblast fusion maker) (Transmembrane protein 226) (Transmembrane protein 8C)	Homo sapiens (Human)
A6NKB5	Pecanex-like protein 2 (Pecanex homolog protein 2)	Homo sapiens (Human)
A6NNB3	Interferon-induced transmembrane protein 5 (Bone-restricted interferon-induced transmembrane protein-like protein) (BRIL) (Dispanin subfamily A member 1) (DSPA1)	Homo sapiens (Human)
A7E2V4	Zinc finger SWIM domain-containing protein 8	Homo sapiens (Human)
A7MCY6	TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1)	Homo sapiens (Human)
A7MD48	Serine/arginine repetitive matrix protein 4 (Medulloblastoma antigen MU-MB-2.76) (Neural-specific serine/arginine repetitive splicing factor of 100 kDa) (Neural-specific SR-related protein of 100 kDa) (nSR100)	Homo sapiens (Human)
A7XYQ1	Sine oculis-binding protein homolog (Jackson circler protein 1)	Homo sapiens (Human)
A8MQ03	Cysteine-rich tail protein 1	Homo sapiens (Human)
A8MW99	Meiosis-specific protein MEI4	Homo sapiens (Human)
A9UHW6	MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)	Homo sapiens (Human)
B1AK53	Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)	Homo sapiens (Human)
B2RUY7	von Willebrand factor C domain-containing protein 2-like (VWC2-like protein) (Brorin-like)	Homo sapiens (Human)
B3KU38	IQCJ-SCHIP1 readthrough transcript protein	Homo sapiens (Human)
B6A8C7	T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)	Homo sapiens (Human)
B7U540	Inward rectifier potassium channel 18 (Inward rectifier K(+) channel Kir2.6) (Potassium channel, inwardly rectifying subfamily J member 18)	Homo sapiens (Human)
C9JLW8	Mapk-regulated corepressor-interacting protein 1 (Granulin-2) (Protein FAM195B)	Homo sapiens (Human)
C9JRZ8	Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64)	Homo sapiens (Human)
D3W0D1	Killer cell lectin-like receptor subfamily F member 2 (Lectin-like receptor F2) (Activating coreceptor NKp65)	Homo sapiens (Human)
E0CX11	Short transmembrane mitochondrial protein 1	Homo sapiens (Human)
O00115	Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)	Homo sapiens (Human)
O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	Homo sapiens (Human)
O00159	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	Homo sapiens (Human)
O00161	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	Homo sapiens (Human)
O00165	HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1)	Homo sapiens (Human)
O00168	Phospholemman (FXYD domain-containing ion transport regulator 1) (Sodium/potassium-transporting ATPase subunit FXYD1)	Homo sapiens (Human)
O00214	Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1)	Homo sapiens (Human)
O00237	E3 ubiquitin-protein ligase RNF103 (EC 2.3.2.27) (KF-1) (hKF-1) (RING finger protein 103) (RING-type E3 ubiquitin transferase RNF103) (Zinc finger protein 103 homolog) (Zfp-103)	Homo sapiens (Human)
O00254	Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)	Homo sapiens (Human)
O00268	Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135)	Homo sapiens (Human)
O00291	Huntingtin-interacting protein 1 (HIP-1) (Huntingtin-interacting protein I) (HIP-I)	Homo sapiens (Human)
O00300	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)	Homo sapiens (Human)
O00322	Uroplakin-1a (UP1a) (Tetraspanin-21) (Tspan-21) (Uroplakin Ia) (UPIa) (UPKa)	Homo sapiens (Human)
O00329	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)	Homo sapiens (Human)
O00330	Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)	Homo sapiens (Human)
O00337	Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (hCNT1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1)	Homo sapiens (Human)
O00400	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)	Homo sapiens (Human)
O00409	Forkhead box protein N3 (Checkpoint suppressor 1)	Homo sapiens (Human)
O00422	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	Homo sapiens (Human)
O00444	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)	Homo sapiens (Human)
O00453	Leukocyte-specific transcript 1 protein (Protein B144)	Homo sapiens (Human)
O00462	Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase)	Homo sapiens (Human)
O00478	Butyrophilin subfamily 3 member A3	Homo sapiens (Human)
O00487	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	Homo sapiens (Human)
O00505	Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)	Homo sapiens (Human)
O00506	Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)	Homo sapiens (Human)
O00507	Ubiquitin carboxyl-terminal hydrolase 9Y (EC 3.4.19.12) (Deubiquitinating enzyme FAF-Y) (Fat facets protein-related, Y-linked) (Ubiquitin thioesterase FAF-Y) (Ubiquitin-specific protease 9, Y chromosome) (Ubiquitin-specific-processing protease FAF-Y)	Homo sapiens (Human)
O00560	Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)	Homo sapiens (Human)
O00591	Gamma-aminobutyric acid receptor subunit pi (GABA(A) receptor subunit pi) (GABAAR subunit pi)	Homo sapiens (Human)
O00622	CCN family member 1 (Cellular communication network factor 1) (Cysteine-rich angiogenic inducer 61) (Insulin-like growth factor-binding protein 10) (IBP-10) (IGF-binding protein 10) (IGFBP-10) (Protein CYR61) (Protein GIG1)	Homo sapiens (Human)
O00624	Sodium-dependent phosphate transport protein 3 (Na(+)/PI cotransporter 3) (Sodium/phosphate cotransporter 3) (Solute carrier family 17 member 2)	Homo sapiens (Human)
O00635	E3 ubiquitin-protein ligase TRIM38 (EC 2.3.2.27) (RING finger protein 15) (Tripartite motif-containing protein 38) (Zinc finger protein RoRet)	Homo sapiens (Human)
O00712	Nuclear factor 1 B-type (NF1-B) (Nuclear factor 1/B) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/B) (NF-I/B) (NFI-B) (TGGCA-binding protein)	Homo sapiens (Human)
O00746	Nucleoside diphosphate kinase, mitochondrial (NDK) (NDP kinase, mitochondrial) (EC 2.7.4.6) (Nucleoside diphosphate kinase D) (NDPKD) (nm23-H4)	Homo sapiens (Human)
O00748	Cocaine esterase (EC 3.1.1.84) (Carboxylesterase 2) (CE-2) (hCE-2) (EC 3.1.1.1) (Methylumbelliferyl-acetate deacetylase 2) (EC 3.1.1.56)	Homo sapiens (Human)
O00762	Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)	Homo sapiens (Human)
O14497	AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	Homo sapiens (Human)
O14503	Class E basic helix-loop-helix protein 40 (bHLHe40) (Class B basic helix-loop-helix protein 2) (bHLHb2) (Differentially expressed in chondrocytes protein 1) (DEC1) (Enhancer-of-split and hairy-related protein 2) (SHARP-2) (Stimulated by retinoic acid gene 13 protein)	Homo sapiens (Human)
O14508	Suppressor of cytokine signaling 2 (SOCS-2) (Cytokine-inducible SH2 protein 2) (CIS-2) (STAT-induced STAT inhibitor 2) (SSI-2)	Homo sapiens (Human)
O14519	Cyclin-dependent kinase 2-associated protein 1 (CDK2-associated protein 1) (Deleted in oral cancer 1) (DOC-1) (Putative oral cancer suppressor)	Homo sapiens (Human)
O14524	Nuclear envelope integral membrane protein 1	Homo sapiens (Human)
O14548	Cytochrome c oxidase subunit 7A2-like, mitochondrial (Cytochrome c oxidase subunit 7A-related protein) (COX7a-related protein) (Cytochrome c oxidase subunit VIIa-related protein) (EB1) (Supercomplex assembly factor 1)	Homo sapiens (Human)
O14561	Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)	Homo sapiens (Human)
O14613	Cdc42 effector protein 2 (Binder of Rho GTPases 1)	Homo sapiens (Human)
O14618	Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone)	Homo sapiens (Human)
O14628	Zinc finger protein 195	Homo sapiens (Human)
O14638	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (NPP3) (Alkaline phosphodiesterase I) (EC 3.1.4.1) (Dinucleoside polyphosphatase) (EC 3.6.1.-) (Nucleotide diphosphatase) (Nucleotide pyrophosphatase) (NPPase) (EC 3.6.1.9) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c)	Homo sapiens (Human)
O14640	Segment polarity protein dishevelled homolog DVL-1 (Dishevelled-1) (DSH homolog 1)	Homo sapiens (Human)
O14654	Insulin receptor substrate 4 (IRS-4) (160 kDa phosphotyrosine protein) (py160) (Phosphoprotein of 160 kDa) (pp160)	Homo sapiens (Human)
O14657	Torsin-1B (Torsin ATPase-1B) (EC 3.6.4.-) (Torsin family 1 member B)	Homo sapiens (Human)
O14744	Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]	Homo sapiens (Human)
O14756	17-beta-hydroxysteroid dehydrogenase type 6 (17-beta-HSD 6) (17-beta-HSD6) (EC 1.1.1.105) (EC 1.1.1.209) (EC 1.1.1.239) (EC 1.1.1.53) (EC 1.1.1.62) (3-alpha->beta-hydroxysteroid epimerase) (3-alpha->beta-HSE) (Oxidative 3-alpha hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 9C member 6)	Homo sapiens (Human)
O14757	Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1)	Homo sapiens (Human)
O14763	Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (TNF-related apoptosis-inducing ligand receptor 2) (TRAIL receptor 2) (TRAIL-R2) (CD antigen CD262)	Homo sapiens (Human)
O14788	Tumor necrosis factor ligand superfamily member 11 (Osteoclast differentiation factor) (ODF) (Osteoprotegerin ligand) (OPGL) (Receptor activator of nuclear factor kappa-B ligand) (RANKL) (TNF-related activation-induced cytokine) (TRANCE) (CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form]	Homo sapiens (Human)
O14804	Trace amine-associated receptor 5 (TaR-5) (Trace amine receptor 5) (hTaar5) (Putative neurotransmitter receptor)	Homo sapiens (Human)
O14813	Paired mesoderm homeobox protein 2A (ARIX1 homeodomain protein) (Aristaless homeobox protein homolog) (Paired-like homeobox 2A)	Homo sapiens (Human)
O14843	Free fatty acid receptor 3 (G-protein coupled receptor 41)	Homo sapiens (Human)
O14907	Tax1-binding protein 3 (Glutaminase-interacting protein 3) (Tax interaction protein 1) (TIP-1) (Tax-interacting protein 1)	Homo sapiens (Human)
O14908	PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2)	Homo sapiens (Human)
O14910	Protein lin-7 homolog A (Lin-7A) (hLin-7) (Mammalian lin-seven protein 1) (MALS-1) (Tax interaction protein 33) (TIP-33) (Vertebrate lin-7 homolog 1) (Veli-1)	Homo sapiens (Human)
O14925	Mitochondrial import inner membrane translocase subunit Tim23	Homo sapiens (Human)
O14926	Fascin-2 (Retinal fascin)	Homo sapiens (Human)
O14933	Ubiquitin/ISG15-conjugating enzyme E2 L6 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L6) (Retinoic acid-induced gene B protein) (RIG-B) (UbcH8) (Ubiquitin carrier protein L6) (Ubiquitin-protein ligase L6)	Homo sapiens (Human)
O14939	Phospholipase D2 (PLD 2) (hPLD2) (EC 3.1.4.4) (Choline phosphatase 2) (PLD1C) (Phosphatidylcholine-hydrolyzing phospholipase D2)	Homo sapiens (Human)
O14949	Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C)	Homo sapiens (Human)
O14958	Calsequestrin-2 (Calsequestrin, cardiac muscle isoform)	Homo sapiens (Human)
O14960	Leukocyte cell-derived chemotaxin-2 (LECT-2) (hLECT2)	Homo sapiens (Human)
O14967	Calmegin	Homo sapiens (Human)
O14975	Long-chain fatty acid transport protein 2 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Phytanate--CoA ligase) (EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase) (EC 6.2.1.7) (Very long-chain acyl-CoA synthetase) (VLACS) (VLCS) (EC 6.2.1.-) (Very long-chain-fatty-acid-CoA ligase)	Homo sapiens (Human)
